DIRECCION_SECCIONAL,TIPO_MPUESTO,VALOR
PUERTO CARREÑO,GMF, 0  
PUERTO CARREÑO,CONSUMO, 29 
PUERTO CARREÑO,GASOLINA Y ACPM, 0  
PUERTO CARREÑO,CREE RETENCIONES, 3 
PUERTO CARREÑO,CREE DECLARACIONES, 3 
PUERTO CARREÑO,AL CARBONO, 0  
PUERTO CARREÑO,POR CLASIFICAR, 0  
QUIBDO,RENTA CUOTAS, 8.236 
QUIBDO,IVA DECLARACIONES, 14.245 
QUIBDO,RETENCIONES, 42.194 
QUIBDO,EXTERNOS, 0  
QUIBDO,SEGURIDAD DEMOCRATICA, 0 
ADUANAS DE MEDELLIN,PATRIMONIO, 0  
PUERTO ASIS,RIQUEZA, 92 
QUIBDO,PRECIOS DE TRANSFERENCIA, 0  
QUIBDO,GMF, 22 
QUIBDO,CONSUMO, 869 
QUIBDO,GASOLINA Y ACPM, 0  
QUIBDO,CREE RETENCIONES, 381 
QUIBDO,CREE DECLARACIONES, 91 
QUIBDO,AL CARBONO, 0  
QUIBDO,POR CLASIFICAR, 417 
RIOHACHA,RENTA CUOTAS, 19.206 
RIOHACHA,IVA DECLARACIONES, 24.873 
RIOHACHA,RETENCIONES, 51.564 
RIOHACHA,EXTERNOS, 247.179 
RIOHACHA,SEGURIDAD DEMOCRATICA, 0  
ARAUCA,PATRIMONIO, 0  
MITU,RIQUEZA, 14 
RIOHACHA,PRECIOS DE TRANSFERENCIA, 1 
RIOHACHA,GMF, 32 
RIOHACHA,CONSUMO, 1.389 
RIOHACHA,GASOLINA Y ACPM, 0  
RIOHACHA,CREE RETENCIONES, 69 
RIOHACHA,CREE DECLARACIONES, 204 
RIOHACHA,AL CARBONO, 0  
RIOHACHA,POR CLASIFICAR, 255 
SAN ANDRES,RENTA CUOTAS, 36.949 
SAN ANDRES,IVA DECLARACIONES, 21.584 
SAN ANDRES,RETENCIONES, 44.912 
SAN ANDRES,EXTERNOS, 12.046 
SAN ANDRES,SEGURIDAD DEMOCRATICA, 0  
FLORENCIA,PATRIMONIO, 0  
INIRIDA,RIQUEZA, 6 
