FECHA,LOCALIDAD,CANT_INCIDENTES
Jan 1 2017,LOS MARTIRES,5857
Jan 1 2017,PUENTE ARANDA,10507
Jan 1 2017,RAFAEL URIBE URIBE,11644
Jan 1 2017,SAN CRISTOBAL,11405
Jan 1 2017,SANTA FE,6799
Jan 1 2017,SIN LOCALIZACION,615
Jan 1 2017,SUBA,29745
Jan 1 2017,TEUSAQUILLO,7090
Jan 1 2017,TUNJUELITO,6118
Jan 1 2017,USAQUEN,16858
Jan 1 2017,USME,8058
Jan 1 2018,ANTONIO NARINO,4223
Jan 1 2018,BARRIOS UNIDOS,7147
Jan 1 2018,BOSA,15983
Jan 1 2018,CANDELARIA,1399
Jan 1 2018,CHAPINERO,9450
Jan 1 2018,CIUDAD BOLIVAR,16567
Jan 1 2018,ENGATIVA,22914
Jan 1 2018,FONTIBON,10055
Jan 1 2018,KENNEDY,29351
Jan 1 2018,LOS MARTIRES,5561
Jan 1 2018,PUENTE ARANDA,9977
Jan 1 2018,RAFAEL URIBE URIBE,11432
Jan 1 2018,SAN CRISTOBAL,10951
Jan 1 2018,SANTA FE,6190
Jan 1 2018,SIN LOCALIZACION,537
Jan 1 2018,SUBA,30145
Jan 1 2018,TEUSAQUILLO,7333
Jan 1 2018,TUNJUELITO,5401
Jan 1 2018,USAQUEN,16828
Jan 1 2018,USME,7355
Jan 1 2019,ANTONIO NARINO,3726
Jan 1 2019,BARRIOS UNIDOS,6365
Jan 1 2019,BOSA,15638
Jan 1 2019,CANDELARIA,1370
Jan 1 2019,CHAPINERO,8790
Jan 1 2019,CIUDAD BOLIVAR,15420
Jan 1 2019,ENGATIVA,23055
Jan 1 2019,FONTIBON,10067
Jan 1 2019,KENNEDY,26459
Jan 1 2019,LOS MARTIRES,5207
Jan 1 2019,PUENTE ARANDA,9231
Jan 1 2019,RAFAEL URIBE URIBE,10360
Jan 1 2019,SAN CRISTOBAL,10562
Jan 1 2019,SANTA FE,5781
Jan 1 2019,SIN LOCALIZACION,732
Jan 1 2019,SUBA,27710
Jan 1 2019,TEUSAQUILLO,6560
Jan 1 2019,TUNJUELITO,4997
Jan 1 2019,USAQUEN,15529
Jan 1 2019,USME,6763
Jul 1 2014,ANTONIO NARINO,4075
Jul 1 2014,BARRIOS UNIDOS,7809
Jul 1 2014,BOSA,15402
Jul 1 2014,CANDELARIA,1367
Jul 1 2014,CHAPINERO,10625
Jul 1 2014,CIUDAD BOLIVAR,14413
Jul 1 2014,ENGATIVA,24489
Jul 1 2014,FONTIBON,11586
Jul 1 2014,KENNEDY,28180
Jul 1 2014,LOS MARTIRES,6019
Jul 1 2014,PUENTE ARANDA,10503
Jul 1 2014,RAFAEL URIBE URIBE,11491
Jul 1 2014,SAN CRISTOBAL,10891
Jul 1 2014,SANTA FE,6798
Jul 1 2014,SIN LOCALIZACION,2065
Jul 1 2014,SUBA,26570
Jul 1 2014,TEUSAQUILLO,7986
Jul 1 2014,TUNJUELITO,6404
Jul 1 2014,USAQUEN,15265
Jul 1 2014,USME,7998
Jul 1 2015,ANTONIO NARINO,5405
Jul 1 2015,BARRIOS UNIDOS,9972
Jul 1 2015,BOSA,18391
Jul 1 2015,CANDELARIA,1910
Jul 1 2015,CHAPINERO,13096
Jul 1 2015,CIUDAD BOLIVAR,19060
Jul 1 2015,ENGATIVA,29796
Jul 1 2015,FONTIBON,14079
Jul 1 2015,KENNEDY,34336
Jul 1 2015,LOS MARTIRES,7601
Jul 1 2015,PUENTE ARANDA,13669
Jul 1 2015,RAFAEL URIBE URIBE,13388
Jul 1 2015,SAN CRISTOBAL,13463
Jul 1 2015,SANTA FE,8745
Jul 1 2015,SIN LOCALIZACION,940
Jul 1 2015,SUBA,32764
Jul 1 2015,TEUSAQUILLO,10405
Jul 1 2015,TUNJUELITO,7357
Jul 1 2015,USAQUEN,19144
Jul 1 2015,USME,10130
Jul 1 2016,ANTONIO NARINO,4766
Jul 1 2016,BARRIOS UNIDOS,8424
Jul 1 2016,BOSA,16162
Jul 1 2016,CANDELARIA,1725
Jul 1 2016,CHAPINERO,12605
Jul 1 2016,CIUDAD BOLIVAR,14910
Jul 1 2016,ENGATIVA,27091
Jul 1 2016,FONTIBON,11749
Jul 1 2016,KENNEDY,31521
Jul 1 2016,LOS MARTIRES,8309
Jul 1 2016,PUENTE ARANDA,10513
Jul 1 2016,RAFAEL URIBE URIBE,12114
Jul 1 2016,SAN CRISTOBAL,11515
Jul 1 2016,SANTA FE,8598
Jul 1 2016,SIN LOCALIZACION,46807
Jul 1 2016,SUBA,32525
Jul 1 2016,TEUSAQUILLO,8949
Jul 1 2016,TUNJUELITO,6525
Jul 1 2016,USAQUEN,18779
Jul 1 2016,USME,7176
Jul 1 2017,ANTONIO NARINO,4669
Jul 1 2017,BARRIOS UNIDOS,8440
Jul 1 2017,BOSA,17945
Jul 1 2017,CANDELARIA,1663
Jul 1 2017,CHAPINERO,11055
Jul 1 2017,CIUDAD BOLIVAR,18759
Jul 1 2017,ENGATIVA,27804
Jul 1 2017,FONTIBON,12251
Jul 1 2017,KENNEDY,35439
Jul 1 2017,LOS MARTIRES,6812
Jul 1 2017,PUENTE ARANDA,11340
Jul 1 2017,RAFAEL URIBE URIBE,12350
Jul 1 2017,SAN CRISTOBAL,11809
Jul 1 2017,SANTA FE,7331
